"","State_Code","Region","Cost_Index","race","all_race_value"
"1","KS","Midwest",86.5,"Indigenous",17788
"2","MO","Midwest",89.8,"Indigenous",20646
"3","IA","Midwest",89.9,"Indigenous",8055
"4","IN","Midwest",90.6,"Indigenous",10363
"5","MI","Midwest",91.3,"Indigenous",42931
"6","OH","Midwest",91.3,"Indigenous",14901
"7","NE","Midwest",93.7,"Indigenous",13378
"8","IL","Midwest",94.3,"Indigenous",13301
"9","WI","Midwest",96.4,"Indigenous",43830
"10","ND","Midwest",98.2,"Indigenous",37170
"11","MN","Midwest",100,"Indigenous",48409
"12","SD","Midwest",101,"Indigenous",72142
"13","PA","Northeast",102.5,"Indigenous",12224
"14","NH","Northeast",109.9,"Indigenous",1895
"15","ME","Northeast",115,"Indigenous",8011
"16","NJ","Northeast",115.2,"Indigenous",10290
"17","VT","Northeast",117,"Indigenous",1538
"18","RI","Northeast",117.2,"Indigenous",2832
"19","CT","Northeast",121.6,"Indigenous",4882
"20","MA","Northeast",135,"Indigenous",8943
"21","NY","Northeast",148.2,"Indigenous",42429
"22","MS","South",83.3,"Indigenous",12897
"23","AL","South",87.9,"Indigenous",21297
"24","OK","South",87.9,"Indigenous",288801
"25","GA","South",88.8,"Indigenous",17433
"26","TN","South",89,"Indigenous",13814
"27","WV","South",90.5,"Indigenous",3072
"28","AR","South",90.9,"Indigenous",15912
"29","TX","South",92.1,"Indigenous",65132
"30","LA","South",93,"Indigenous",23328
"31","KY","South",93.1,"Indigenous",7075
"32","SC","South",93.6,"Indigenous",14085
"33","NC","South",95.7,"Indigenous",108223
"34","FL","South",100.3,"Indigenous",39070
"35","VA","South",101.8,"Indigenous",16856
"36","DE","South",107.9,"Indigenous",2836
"37","MD","South",124,"Indigenous",11223
"38","NM","West",91,"Indigenous",179881
"39","WY","West",94.3,"Indigenous",11596
"40","UT","West",99,"Indigenous",27734
"41","MT","West",100.7,"Indigenous",62720
"42","ID","West",102.1,"Indigenous",18866
"43","AZ","West",103.2,"Indigenous",272294
"44","CO","West",105.3,"Indigenous",29337
"45","NV","West",106.3,"Indigenous",25928
"46","WA","West",111.6,"Indigenous",75677
"47","AK","West",127.1,"Indigenous",103843
"48","OR","West",130.1,"Indigenous",35842
"49","CA","West",142.2,"Indigenous",131724
"50","HI","West",193.3,"Indigenous",2100
"51","KS","Midwest",86.5,"European",2193988
"52","MO","Midwest",89.8,"European",4826943
"53","IA","Midwest",89.9,"European",2677946
"54","IN","Midwest",90.6,"European",5253453
"55","MI","Midwest",91.3,"European",7428622
"56","OH","Midwest",91.3,"European",9141370
"57","NE","Midwest",93.7,"European",1507127
"58","IL","Midwest",94.3,"European",7737459
"59","WI","Midwest",96.4,"European",4681072
"60","ND","Midwest",98.2,"European",636284
"61","MN","Midwest",100,"European",4422490
"62","SD","Midwest",101,"European",715328
"63","PA","Northeast",102.5,"European",9685118
"64","NH","Northeast",109.9,"European",1214029
"65","ME","Northeast",115,"European",1242113
"66","NJ","Northeast",115.2,"European",4858807
"67","VT","Northeast",117,"European",576601
"68","RI","Northeast",117.2,"European",755708
"69","CT","Northeast",121.6,"European",2357942
"70","MA","Northeast",135,"European",4865022
"71","NY","Northeast",148.2,"European",10766297
"72","MS","South",83.3,"European",1680938
"73","AL","South",87.9,"European",3192147
"74","OK","South",87.9,"European",2563119
"75","GA","South",88.8,"European",5478289
"76","TN","South",89,"European",4969371
"77","WV","South",90.5,"European",1654681
"78","AR","South",90.9,"European",2155099
"79","TX","South",92.1,"European",11850477
"80","LA","South",93,"European",2720638
"81","KY","South",93.1,"European",3751738
"82","SC","South",93.6,"European",3230111
"83","NC","South",95.7,"European",6503292
"84","FL","South",100.3,"European",11331222
"85","VA","South",101.8,"European",5209336
"86","DE","South",107.9,"European",595236
"87","MD","South",124,"European",3028494
"88","NM","West",91,"European",769139
"89","WY","West",94.3,"European",485816
"90","UT","West",99,"European",2455192
"91","MT","West",100.7,"European",908782
"92","ID","West",102.1,"European",1427529
"93","AZ","West",103.2,"European",3883722
"94","CO","West",105.3,"European",3837450
"95","NV","West",106.3,"European",1460159
"96","WA","West",111.6,"European",5067909
"97","AK","West",127.1,"European",439979
"98","OR","West",130.1,"European",3128494
"99","CA","West",142.2,"European",14365145
"100","HI","West",193.3,"European",306360
"101","KS","Midwest",86.5,"Latinx",351602
"102","MO","Midwest",89.8,"Latinx",262677
"103","IA","Midwest",89.9,"Latinx",194407
"104","IN","Midwest",90.6,"Latinx",475475
"105","MI","Midwest",91.3,"Latinx",521203
"106","OH","Midwest",91.3,"Latinx",459939
"107","NE","Midwest",93.7,"Latinx",214952
"108","IL","Midwest",94.3,"Latinx",2190696
"109","WI","Midwest",96.4,"Latinx",408267
"110","ND","Midwest",98.2,"Latinx",30325
"111","MN","Midwest",100,"Latinx",307675
"112","SD","Midwest",101,"Latinx",36088
"113","PA","Northeast",102.5,"Latinx",971813
"114","NH","Northeast",109.9,"Latinx",52792
"115","ME","Northeast",115,"Latinx",23143
"116","NJ","Northeast",115.2,"Latinx",1815078
"117","VT","Northeast",117,"Latinx",12518
"118","RI","Northeast",117.2,"Latinx",168007
"119","CT","Northeast",121.6,"Latinx",587212
"120","MA","Northeast",135,"Latinx",828140
"121","NY","Northeast",148.2,"Latinx",3720707
"122","MS","South",83.3,"Latinx",94342
"123","AL","South",87.9,"Latinx",212951
"124","OK","South",87.9,"Latinx",431467
"125","GA","South",88.8,"Latinx",1013057
"126","TN","South",89,"Latinx",377162
"127","WV","South",90.5,"Latinx",28679
"128","AR","South",90.9,"Latinx",229629
"129","TX","South",92.1,"Latinx",11294257
"130","LA","South",93,"Latinx",243372
"131","KY","South",93.1,"Latinx",167949
"132","SC","South",93.6,"Latinx",296897
"133","NC","South",95.7,"Latinx",991051
"134","FL","South",100.3,"Latinx",5468826
