"","variable","value","percent"
"1","        White alone",1273054,51.16
"2","        Black or African American alone",151468,6.09
"3","Hispanic or Latino",218763,8.79
"4","        American Indian and Alaska Native alone",19073,0.77
"5","        Asian alone",452475,18.18
"6","        Native Hawaiian and Other Pacific Islander alone",20022,0.8
"7","        Some Other Race alone",117830,4.74
"8","        Population of two races:",215462,8.66
"9","        Population of three races:",17973,0.72
"10","        Population of four races:",2089,0.08
"11","        Population of five races:",222,0.01
